year,YLL,YLD,DALY,YLL_rate,YLD_rate,DALY_rate,std_YLL_rate,std_YLD_rate,std_DALY_rate,cancer_1,crude_rate,pop,case,stdrate
2007,1898998.722,52665.06804,1951663.79,279.606482,7.754346661,287.3608287,318.4741616,8.960379979,327.4345415,Colorectal cancer,15.58,679168.347,105814.4285,13.53109299
2008,1804446.921,58021.87561,1862468.797,263.9389323,8.486939527,272.4258718,292.8934665,9.549086619,302.4425531,Colorectal cancer,15.64,683660.764,106924.5435,12.56892818
2009,1939347.628,63591.02741,2002938.655,281.7551339,9.238724499,290.9938584,306.0110795,10.13289619,316.1439757,Colorectal cancer,15.73,688309.5975,108271.0997,13.06328798
2010,1933538.463,69212.60716,2002751.07,279.0115543,9.987449161,288.9990035,296.9763626,10.67604069,307.6524033,Colorectal cancer,15.05,692995.8395,104295.8738,12.73063703
2011,2031169.702,74507.73863,2105677.441,291.1759745,10.68097037,301.8569449,303.1802731,11.13283466,314.3131078,Colorectal cancer,15.34,697574.6215,107007.9469,12.79959299
2012,1981927.067,80142.68706,2062069.754,282.1544348,11.40940802,293.5638428,287.3722815,11.58944283,298.9617244,Colorectal cancer,14.5,702426.339,101851.8192,11.99090586
2013,2011733.377,85693.58382,2097426.961,284.4266232,12.11568936,296.5423126,282.7409097,11.97227551,294.7131852,Colorectal cancer,14.63,707294.3295,103477.1604,11.77158549
2014,2106845.105,92861.7096,2199706.815,295.9458711,13.04416707,308.9900382,287.3066664,12.54238309,299.8490495,Colorectal cancer,15.12,711902.179,107639.6095,11.89038806
2015,2201135.188,100711.8251,2301847.013,307.3433857,14.06234086,321.4057266,291.841019,13.14370953,304.9847285,Colorectal cancer,15.94,716181.083,114159.2646,12.13210004
2016,2261140.563,107951.987,2369092.55,313.9441489,14.98840684,328.9325557,290.7053408,13.6247743,304.3301151,Colorectal cancer,16.31,720236.568,117470.5842,12.19518268
2017,2353703.268,113380.4699,2467083.738,324.9517957,15.65328468,340.6050804,289.1550307,13.87639169,303.0314224,Colorectal cancer,16.37,724323.8225,118571.8097,12.12039554
2018,2416206.558,123196.0373,2539402.595,332.1099755,16.93341688,349.0433924,292.2508167,14.62255208,306.8733687,Colorectal cancer,16.94,727532.0635,123243.9316,12.34045883
2019,2511141.678,131952.6018,2643094.28,344.1301745,18.08295894,362.2131334,284.742251,15.1996743,299.9419253,Colorectal cancer,17.63810591,729706.9145,128706.4784,12.53584722
2020,2591661.616,141144.5439,2732806.16,354.5753939,19.31053883,373.8859327,283.5066676,15.79957435,299.3062419,Colorectal cancer,18.19805626,730919.7595,133013.189,12.69012303
2021,2670535.88,150738.1816,2821274.062,365.337652,20.6214542,385.9591062,282.3548923,16.42315123,298.7780435,Colorectal cancer,18.78089779,730977.4575,137284.1292,12.85074417
2022,2750067.274,160881.9158,2910949.19,376.4265719,22.02136239,398.4479343,281.2924754,17.07133942,298.3638148,Colorectal cancer,19.387885,730572.037,141642.4664,13.01805583
