year,YLL,YLD,DALY,YLL_rate,YLD_rate,DALY_rate,std_YLLs_rate,std_YLD_rate,std_DALY_rate,cancer_1,crude_rate,pop,case,stdrate
2007,1553961.215,111602.5762,1665563.791,239.7456089,17.2180794,256.9636883,257.8524097,18.69792772,276.5503374,Breast cancer,9.31,648170.8765,60344.7086,8.313657769
2008,1686015.743,120059.6213,1806075.364,258.4588185,18.40461337,276.8634319,272.8524529,19.53633926,292.3887922,Breast cancer,10.41,652334.3845,67908.00943,8.820709512
2009,1734806.295,129255.4766,1864061.771,264.1920154,19.6841947,283.8762101,272.1569478,20.4204776,292.5774254,Breast cancer,10.24,656645.9975,67240.55014,8.913708233
2010,1861376.817,138421.0584,1999797.876,281.5883964,20.94028651,302.5286829,284.7731528,21.24166859,306.0148214,Breast cancer,10.32,661027.5285,68218.04094,9.100928471
2011,1971553.425,147586.244,2119139.669,296.3160783,22.18158355,318.4976619,295.058253,22.01564635,317.0738994,Breast cancer,10.47,665354.859,69662.65374,9.209121578
2012,1832092.228,156739.2711,1988831.499,273.4586501,23.39495187,296.853602,268.5726994,22.74591743,291.3186168,Breast cancer,9.8,669970.479,65657.10694,8.490171643
2013,1907969.527,166023.9164,2073993.443,282.8113181,24.60911559,307.4204337,273.4796719,23.44762057,296.9272925,Breast cancer,10.08,674643.978,68004.11298,8.615946314
2014,1942961.3,177142.8787,2120104.179,286.0966947,26.08389168,312.1805864,271.5273259,24.35781992,295.8851458,Breast cancer,10.05,679127.4895,68252.31269,8.51290557
2015,1991219.614,186707.343,2177926.957,291.379643,27.32130527,318.7009483,272.6091348,25.02079818,297.629933,Breast cancer,10.23,683376.3655,69909.40219,8.513472262
2016,2021482.407,194876.6473,2216359.054,294.0350396,28.34581321,322.3808528,267.9106065,25.49136766,293.4019742,Breast cancer,10.14,687497.1125,69712.20721,8.341005728
2017,1989189.491,203364.2294,2192553.721,287.5390079,29.39646978,316.9354777,257.058389,26.01347446,283.0718635,Breast cancer,9.76,691798.134,67519.49788,8.001362788
2018,1941736.924,211757.1386,2153494.063,279.2317627,30.45176633,309.683529,247.4448779,26.463674,273.9085519,Breast cancer,9.66,695385.405,67174.23012,7.807821971
2019,2007352.788,220111.913,2227464.701,287.5834273,31.53433651,319.1177638,247.3091071,26.9475666,274.2566737,Breast cancer,9.72125767,698007.1165,67855.07035,7.756800946
2020,2015275.153,228542.6894,2243817.843,287.9532095,32.65539241,320.6086019,242.6800721,27.44030725,270.1203793,Breast cancer,9.653765051,699862.0215,67563.03524,7.614710739
2021,2020484.382,236974.5034,2257458.885,288.3234672,33.81630221,322.1397694,238.1376815,27.94205775,266.0797392,Breast cancer,9.586741019,700770.007,67181.00571,7.475223362
2022,2024240.882,245539.5506,2269780.433,288.694201,35.01848273,323.7126838,233.6803136,28.45298284,262.1332964,Breast cancer,9.520182321,701171.3,66752.78614,7.338291134
2023,2027584.418,254361.4842,2281945.902,289.0654115,36.26340115,325.3288127,229.306377,28.97325028,258.2796272,Breast cancer,9.454085726,701427.5445,66313.56136,7.203867251
